"","Cell","Batch","Group","ExpLibSize","Step"
"Cell803","Cell803","Batch1","Path3",19873.5226834998,671
"Cell804","Cell804","Batch1","Path2",20643.7661337393,538
"Cell806","Cell806","Batch1","Path1",21909.5882364362,878
"Cell807","Cell807","Batch1","Path1",22822.4665303123,856
"Cell808","Cell808","Batch1","Path1",19783.7538862241,929
"Cell809","Cell809","Batch1","Path3",20236.1836604367,881
"Cell810","Cell810","Batch1","Path1",21786.1995680546,630
"Cell812","Cell812","Batch1","Path2",22772.8136306637,772
"Cell813","Cell813","Batch1","Path2",23252.0801080165,938
"Cell817","Cell817","Batch1","Path1",19375.5800238312,782
"Cell818","Cell818","Batch1","Path1",20234.3563136307,941
"Cell821","Cell821","Batch1","Path2",24201.3424279039,678
"Cell822","Cell822","Batch1","Path2",22154.3855471695,680
"Cell823","Cell823","Batch1","Path2",22698.0915176262,676
"Cell824","Cell824","Batch1","Path3",22979.0948396758,609
"Cell827","Cell827","Batch1","Path1",22564.9750330685,572
"Cell831","Cell831","Batch1","Path1",23317.8935356977,758
"Cell834","Cell834","Batch1","Path3",20225.9636034284,951
"Cell835","Cell835","Batch1","Path2",21406.8953868301,907
"Cell836","Cell836","Batch1","Path3",21065.9509619243,734
"Cell837","Cell837","Batch1","Path1",22046.7968896337,414
"Cell839","Cell839","Batch1","Path1",22919.5360602836,416
"Cell840","Cell840","Batch1","Path3",22476.7086644904,970
"Cell841","Cell841","Batch1","Path3",23521.884870641,416
"Cell845","Cell845","Batch1","Path2",22290.917039715,655
"Cell848","Cell848","Batch1","Path3",19087.349413909,830
"Cell849","Cell849","Batch1","Path1",23306.8148703629,482
"Cell850","Cell850","Batch1","Path2",22908.7000202202,609
"Cell851","Cell851","Batch1","Path1",22080.2481756873,658
"Cell852","Cell852","Batch1","Path1",22333.5231722463,680
"Cell854","Cell854","Batch1","Path2",22474.549803976,574
"Cell855","Cell855","Batch1","Path2",21975.2381020241,429
"Cell856","Cell856","Batch1","Path3",21571.0526440367,569
"Cell857","Cell857","Batch1","Path2",21513.8127064649,526
"Cell858","Cell858","Batch1","Path3",21646.5548383714,837
"Cell859","Cell859","Batch1","Path1",23770.218535848,959
"Cell860","Cell860","Batch1","Path3",23284.7049139947,445
"Cell861","Cell861","Batch1","Path2",21040.3926144311,722
"Cell862","Cell862","Batch1","Path1",22437.5373106731,888
"Cell864","Cell864","Batch1","Path2",20941.5852127341,617
"Cell865","Cell865","Batch1","Path2",20672.2555681279,625
"Cell866","Cell866","Batch1","Path2",23036.8803254181,799
"Cell872","Cell872","Batch1","Path2",20446.6588314544,853
"Cell874","Cell874","Batch1","Path2",20542.5711141245,839
"Cell875","Cell875","Batch1","Path2",20620.0073416653,582
"Cell877","Cell877","Batch1","Path3",20543.5271865779,914
"Cell878","Cell878","Batch1","Path3",21821.1888156843,503
"Cell883","Cell883","Batch1","Path3",20997.8344739741,599
"Cell884","Cell884","Batch1","Path3",20095.1460828088,413
"Cell888","Cell888","Batch1","Path2",24243.108650488,826
"Cell890","Cell890","Batch1","Path1",22307.6875990252,815
"Cell892","Cell892","Batch1","Path3",21739.361211908,509
"Cell895","Cell895","Batch1","Path1",22151.3037365251,640
"Cell897","Cell897","Batch1","Path1",22653.782141056,860
"Cell898","Cell898","Batch1","Path1",21560.4885361154,834
"Cell899","Cell899","Batch1","Path2",20637.2246611424,549
"Cell900","Cell900","Batch1","Path2",19815.2201649488,525
"Cell903","Cell903","Batch1","Path2",22032.9067059438,874
"Cell905","Cell905","Batch1","Path2",23793.0894773924,812
"Cell906","Cell906","Batch1","Path3",24638.3857649012,792
"Cell907","Cell907","Batch1","Path1",20994.3432720654,626
"Cell908","Cell908","Batch1","Path2",21459.8034735475,791
"Cell909","Cell909","Batch1","Path2",20888.4667166739,718
"Cell913","Cell913","Batch1","Path1",22224.4394189521,518
"Cell915","Cell915","Batch1","Path3",20222.0920564962,650
"Cell916","Cell916","Batch1","Path3",20652.6789337756,969
"Cell918","Cell918","Batch1","Path3",21642.4848058894,601
"Cell919","Cell919","Batch1","Path2",21601.7041989005,788
"Cell920","Cell920","Batch1","Path1",21941.6584575197,509
"Cell923","Cell923","Batch1","Path2",22917.3728062545,549
"Cell924","Cell924","Batch1","Path1",21861.1940160895,779
"Cell925","Cell925","Batch1","Path3",22463.4197791891,567
"Cell926","Cell926","Batch1","Path2",20775.8499516211,581
"Cell927","Cell927","Batch1","Path1",20760.5605035767,920
"Cell929","Cell929","Batch1","Path3",22339.970002552,830
"Cell930","Cell930","Batch1","Path2",22974.8657145896,678
"Cell931","Cell931","Batch1","Path2",23018.1711356351,576
"Cell933","Cell933","Batch1","Path3",22682.8040108442,409
"Cell935","Cell935","Batch1","Path1",23591.7586122651,819
"Cell936","Cell936","Batch1","Path2",24526.9072414186,501
"Cell937","Cell937","Batch1","Path1",20056.9465287604,884
"Cell938","Cell938","Batch1","Path1",20920.8685052203,760
"Cell940","Cell940","Batch1","Path3",22137.4191762186,984
"Cell941","Cell941","Batch1","Path3",21006.4885711847,850
"Cell942","Cell942","Batch1","Path3",21834.5191025607,590
"Cell943","Cell943","Batch1","Path3",20229.9213123074,474
"Cell944","Cell944","Batch1","Path2",22121.7562679054,773
"Cell946","Cell946","Batch1","Path3",21296.5477695055,920
"Cell948","Cell948","Batch1","Path2",21685.2669511062,650
"Cell949","Cell949","Batch1","Path3",21196.7371835635,451
"Cell951","Cell951","Batch1","Path3",20926.99822435,441
"Cell952","Cell952","Batch1","Path3",21274.7684283126,581
"Cell953","Cell953","Batch1","Path1",22324.4826620392,630
"Cell954","Cell954","Batch1","Path1",21370.2087469387,695
"Cell956","Cell956","Batch1","Path1",23216.339707569,523
"Cell958","Cell958","Batch1","Path3",21419.7586055594,983
"Cell959","Cell959","Batch1","Path3",21897.9429746863,657
"Cell961","Cell961","Batch1","Path1",23012.462122364,898
"Cell962","Cell962","Batch1","Path1",21266.1291883354,760
"Cell963","Cell963","Batch1","Path1",22040.0617850426,624
"Cell964","Cell964","Batch1","Path3",20520.7114006445,866
"Cell965","Cell965","Batch1","Path1",20524.795698058,446
"Cell970","Cell970","Batch1","Path3",22035.2538245715,886
"Cell971","Cell971","Batch1","Path3",23171.1164943665,637
"Cell974","Cell974","Batch1","Path3",20496.892276096,999
"Cell975","Cell975","Batch1","Path3",21460.7583734844,666
"Cell976","Cell976","Batch1","Path2",21581.7575017761,555
"Cell979","Cell979","Batch1","Path1",23935.7745563827,639
"Cell982","Cell982","Batch1","Path3",21082.1614428301,556
"Cell983","Cell983","Batch1","Path1",23371.49124292,959
"Cell984","Cell984","Batch1","Path2",20874.0216482602,989
"Cell986","Cell986","Batch1","Path2",22101.6129540624,941
"Cell988","Cell988","Batch1","Path1",21156.4129333637,917
"Cell989","Cell989","Batch1","Path3",22008.6326417974,822
"Cell990","Cell990","Batch1","Path1",20628.5424020264,519
"Cell991","Cell991","Batch1","Path2",22015.3310548088,864
"Cell993","Cell993","Batch1","Path2",21425.5014580885,849
"Cell994","Cell994","Batch1","Path3",21379.336354525,976
"Cell995","Cell995","Batch1","Path2",23223.2980295665,976
"Cell996","Cell996","Batch1","Path2",21780.2999917077,919
"Cell997","Cell997","Batch1","Path2",20908.8494362225,592
"Cell998","Cell998","Batch1","Path2",20771.2188820522,474
"Cell1000","Cell1000","Batch1","Path2",21288.2728291404,617
"Cell1001","Cell1001","Batch1","Path3",22287.7343986841,986
"Cell1003","Cell1003","Batch1","Path1",21392.5865186414,798
"Cell1004","Cell1004","Batch1","Path1",25711.6436093624,855
"Cell1005","Cell1005","Batch1","Path2",22020.7603010437,687
"Cell1006","Cell1006","Batch1","Path2",21670.6454315659,556
"Cell1007","Cell1007","Batch1","Path2",23855.8861614857,978
"Cell1009","Cell1009","Batch1","Path3",20762.3895315958,887
"Cell1010","Cell1010","Batch1","Path2",24142.1743015537,980
"Cell1014","Cell1014","Batch1","Path3",20227.5164355366,591
"Cell1020","Cell1020","Batch1","Path1",21137.2645362164,868
"Cell1021","Cell1021","Batch1","Path1",21326.8401094143,807
"Cell1022","Cell1022","Batch1","Path3",20446.9689977419,571
"Cell1024","Cell1024","Batch1","Path1",22654.8792822043,693
"Cell1025","Cell1025","Batch1","Path3",22597.7264465023,521
"Cell1027","Cell1027","Batch1","Path1",23398.7273895551,445
"Cell1031","Cell1031","Batch1","Path2",21578.0298428549,468
"Cell1032","Cell1032","Batch1","Path3",22403.1580792515,806
"Cell1033","Cell1033","Batch1","Path3",20162.0626466531,635
"Cell1034","Cell1034","Batch1","Path1",22562.9152653932,662
"Cell1036","Cell1036","Batch1","Path1",21175.4273572388,964
"Cell1037","Cell1037","Batch1","Path3",24975.067330264,430
"Cell1040","Cell1040","Batch1","Path3",23806.0911284998,762
"Cell1042","Cell1042","Batch1","Path3",21284.0165039115,800
"Cell1043","Cell1043","Batch1","Path1",22210.7016233419,476
"Cell1044","Cell1044","Batch1","Path1",22501.2927544332,934
"Cell1045","Cell1045","Batch1","Path1",21543.6511761728,756
"Cell1046","Cell1046","Batch1","Path1",23834.2336821729,997
"Cell1048","Cell1048","Batch1","Path1",22521.18439619,472
"Cell1049","Cell1049","Batch1","Path3",19873.5350023643,761
"Cell1050","Cell1050","Batch1","Path2",21056.0508388214,443
"Cell1051","Cell1051","Batch1","Path3",20473.7921869444,778
"Cell1054","Cell1054","Batch1","Path2",22916.5827423971,634
"Cell1057","Cell1057","Batch1","Path1",21846.2404097557,651
"Cell1061","Cell1061","Batch1","Path2",23174.2446847421,531
"Cell1062","Cell1062","Batch1","Path3",22393.4076148173,655
"Cell1064","Cell1064","Batch1","Path1",21779.1002056597,879
"Cell1066","Cell1066","Batch1","Path3",21715.2132417095,891
"Cell1067","Cell1067","Batch1","Path1",21192.2170432754,927
"Cell1069","Cell1069","Batch1","Path1",23331.1641969029,552
"Cell1072","Cell1072","Batch1","Path3",23652.1227770719,619
"Cell1073","Cell1073","Batch1","Path1",20188.7606175477,530
"Cell1075","Cell1075","Batch1","Path2",22879.8083279921,412
"Cell1076","Cell1076","Batch1","Path1",21474.8752175927,948
"Cell1077","Cell1077","Batch1","Path2",22101.013078878,776
"Cell1078","Cell1078","Batch1","Path2",21791.2838285255,728
"Cell1080","Cell1080","Batch1","Path1",23150.6748149498,720
"Cell1081","Cell1081","Batch1","Path2",22258.507536357,906
"Cell1082","Cell1082","Batch1","Path3",22619.3094579003,868
"Cell1083","Cell1083","Batch1","Path2",21903.0233289645,655
"Cell1084","Cell1084","Batch1","Path3",21927.631318558,747
"Cell1085","Cell1085","Batch1","Path1",20920.3754819421,470
"Cell1086","Cell1086","Batch1","Path1",22323.6449069384,857
"Cell1087","Cell1087","Batch1","Path2",22584.7240391832,704
"Cell1088","Cell1088","Batch1","Path1",22757.8482549132,629
"Cell1089","Cell1089","Batch1","Path2",20507.4758413372,712
"Cell1091","Cell1091","Batch1","Path3",20976.5753610762,984
"Cell1092","Cell1092","Batch1","Path2",20712.0707614762,405
"Cell1093","Cell1093","Batch1","Path2",21977.6578077444,531
"Cell1096","Cell1096","Batch1","Path3",22712.6503980822,400
"Cell1097","Cell1097","Batch1","Path2",23371.2761282919,866
"Cell1098","Cell1098","Batch1","Path1",20837.4426900978,557
"Cell1100","Cell1100","Batch1","Path3",22293.5586116804,403
"Cell1103","Cell1103","Batch1","Path1",22839.841434233,882
"Cell1105","Cell1105","Batch1","Path3",20475.4023122434,637
"Cell1106","Cell1106","Batch1","Path2",20433.0133632264,846
"Cell1107","Cell1107","Batch1","Path2",22399.2889552484,527
"Cell1108","Cell1108","Batch1","Path2",22004.0519656558,574
"Cell1109","Cell1109","Batch1","Path2",21837.9260369525,458
"Cell1111","Cell1111","Batch1","Path2",21447.3524940088,695
"Cell1112","Cell1112","Batch1","Path3",21152.3049854389,543
"Cell1113","Cell1113","Batch1","Path1",22107.82561641,771
"Cell1115","Cell1115","Batch1","Path1",20588.8527149344,794
"Cell1116","Cell1116","Batch1","Path1",20729.0788461707,429
"Cell1117","Cell1117","Batch1","Path2",21954.8057984736,971
"Cell1118","Cell1118","Batch1","Path2",21250.5073150523,817
"Cell1121","Cell1121","Batch1","Path2",21321.9930088241,812
"Cell1122","Cell1122","Batch1","Path3",21130.5479193672,668
"Cell1125","Cell1125","Batch1","Path1",19647.4526026973,716
"Cell1126","Cell1126","Batch1","Path1",21144.8555030476,966
"Cell1127","Cell1127","Batch1","Path1",22042.4457875567,425
"Cell1128","Cell1128","Batch1","Path2",24002.2190680303,884
"Cell1129","Cell1129","Batch1","Path1",22898.4813794997,858
"Cell1130","Cell1130","Batch1","Path3",22365.9610383972,478
"Cell1132","Cell1132","Batch1","Path2",22239.0403428137,580
"Cell1133","Cell1133","Batch1","Path3",24709.752078814,628
"Cell1136","Cell1136","Batch1","Path2",22173.8434250743,640
"Cell1140","Cell1140","Batch1","Path1",22761.0141241127,981
"Cell1141","Cell1141","Batch1","Path2",20710.3170571128,943
"Cell1142","Cell1142","Batch1","Path1",21747.0693597248,997
"Cell1144","Cell1144","Batch1","Path1",22685.0662596219,625
"Cell1146","Cell1146","Batch1","Path3",24454.4481360647,802
"Cell1148","Cell1148","Batch1","Path3",20126.8941774755,675
"Cell1151","Cell1151","Batch1","Path3",24594.5942981581,692
"Cell1152","Cell1152","Batch1","Path1",22992.4500866838,480
"Cell1154","Cell1154","Batch1","Path1",22087.5830331655,675
"Cell1157","Cell1157","Batch1","Path3",20569.1743173426,992
"Cell1158","Cell1158","Batch1","Path3",23292.0237173556,696
"Cell1159","Cell1159","Batch1","Path3",21259.5484946123,537
"Cell1161","Cell1161","Batch1","Path3",22841.7523164213,574
"Cell1162","Cell1162","Batch1","Path1",22862.6726560686,567
"Cell1163","Cell1163","Batch1","Path2",22571.0610703321,888
"Cell1164","Cell1164","Batch1","Path1",22879.1525756346,889
"Cell1166","Cell1166","Batch1","Path2",21203.6985540036,437
"Cell1167","Cell1167","Batch1","Path1",22683.0945473614,958
"Cell1168","Cell1168","Batch1","Path1",21887.3989649878,516
"Cell1169","Cell1169","Batch1","Path3",23743.0374682654,527
"Cell1170","Cell1170","Batch1","Path2",20949.219124618,617
"Cell1171","Cell1171","Batch1","Path2",21566.1512534616,727
"Cell1172","Cell1172","Batch1","Path1",21985.9537587656,674
"Cell1176","Cell1176","Batch1","Path3",21734.9573295555,576
"Cell1181","Cell1181","Batch1","Path3",21850.6379723162,985
"Cell1182","Cell1182","Batch1","Path1",21919.595464162,913
"Cell1183","Cell1183","Batch1","Path3",22081.8386944728,904
"Cell1186","Cell1186","Batch1","Path3",21422.8929609599,580
"Cell1188","Cell1188","Batch1","Path3",21043.0159691531,733
"Cell1191","Cell1191","Batch1","Path1",23234.0508812035,649
"Cell1192","Cell1192","Batch1","Path3",24279.7363101257,661
"Cell1195","Cell1195","Batch1","Path1",22030.3204638321,772
"Cell1196","Cell1196","Batch1","Path1",21060.332005089,820
"Cell1197","Cell1197","Batch1","Path2",21666.8790550563,925
"Cell1199","Cell1199","Batch1","Path2",22155.5556829322,918
"Cell1201","Cell1201","Batch1","Path1",22421.2953602403,633
"Cell1202","Cell1202","Batch1","Path2",23824.3512618054,856
"Cell1205","Cell1205","Batch1","Path3",23006.7321355422,764
"Cell1208","Cell1208","Batch1","Path3",22006.2112229172,952
"Cell1211","Cell1211","Batch1","Path3",22418.7021828572,644
"Cell1212","Cell1212","Batch1","Path2",21337.8086779465,947
"Cell1213","Cell1213","Batch1","Path2",23670.9551166854,403
"Cell1215","Cell1215","Batch1","Path3",22437.8549962385,462
"Cell1216","Cell1216","Batch1","Path1",20843.4952900552,776
"Cell1217","Cell1217","Batch1","Path2",20464.917657192,743
"Cell1219","Cell1219","Batch1","Path3",19973.1558045714,990
"Cell1220","Cell1220","Batch1","Path2",20990.5563203967,999
"Cell1221","Cell1221","Batch1","Path2",20706.3638470767,752
"Cell1222","Cell1222","Batch1","Path2",22737.5977910956,887
"Cell1223","Cell1223","Batch1","Path3",22711.1654744581,589
"Cell1224","Cell1224","Batch1","Path2",19789.5781817041,609
"Cell1225","Cell1225","Batch1","Path2",23047.6930591472,451
"Cell1227","Cell1227","Batch1","Path1",22973.24903986,720
"Cell1228","Cell1228","Batch1","Path1",24903.3431923343,739
"Cell1229","Cell1229","Batch1","Path2",21726.1877948499,457
"Cell1230","Cell1230","Batch1","Path3",23871.0362372374,584
"Cell1231","Cell1231","Batch1","Path2",23147.5990827763,412
"Cell1232","Cell1232","Batch1","Path2",19612.8778669738,685
"Cell1233","Cell1233","Batch1","Path3",23887.1262569961,670
"Cell1234","Cell1234","Batch1","Path2",21590.1110867187,796
"Cell1235","Cell1235","Batch1","Path2",23142.8303487907,786
"Cell1237","Cell1237","Batch1","Path1",21463.0584998261,442
"Cell1238","Cell1238","Batch1","Path3",22445.9993056739,524
"Cell1239","Cell1239","Batch1","Path3",22343.5339171111,497
"Cell1240","Cell1240","Batch1","Path1",22425.1194312481,911
"Cell1241","Cell1241","Batch1","Path2",22214.2150299412,912
"Cell1242","Cell1242","Batch1","Path3",21209.3304250346,626
"Cell1243","Cell1243","Batch1","Path1",21640.3012668931,699
"Cell1244","Cell1244","Batch1","Path1",22951.4688327195,562
"Cell1245","Cell1245","Batch1","Path3",23306.2306196915,560
"Cell1248","Cell1248","Batch1","Path1",22357.2066735544,581
"Cell1249","Cell1249","Batch1","Path3",22104.8978547996,545
"Cell1252","Cell1252","Batch1","Path1",22886.1795416653,812
"Cell1254","Cell1254","Batch1","Path1",22904.8958584449,586
"Cell1255","Cell1255","Batch1","Path2",21158.1931425705,419
"Cell1258","Cell1258","Batch1","Path3",21638.6312013459,874
"Cell1259","Cell1259","Batch1","Path3",21225.586363367,619
"Cell1260","Cell1260","Batch1","Path2",21580.5323183098,782
"Cell1261","Cell1261","Batch1","Path2",20624.4006621729,773
"Cell1264","Cell1264","Batch1","Path1",20532.817242148,905
"Cell1265","Cell1265","Batch1","Path2",21066.2319172786,620
"Cell1266","Cell1266","Batch1","Path1",22161.247200875,546
"Cell1267","Cell1267","Batch1","Path3",23382.2176414016,565
"Cell1268","Cell1268","Batch1","Path1",22344.3899776341,708
"Cell1270","Cell1270","Batch1","Path2",21539.4446478023,896
"Cell1272","Cell1272","Batch1","Path2",21430.4049258014,984
"Cell1274","Cell1274","Batch1","Path1",20055.5398867792,408
"Cell1275","Cell1275","Batch1","Path3",22535.8303656548,450
"Cell1276","Cell1276","Batch1","Path3",22496.6710559467,857
"Cell1277","Cell1277","Batch1","Path3",20301.670597137,865
"Cell1278","Cell1278","Batch1","Path2",22181.8073544406,953
"Cell1279","Cell1279","Batch1","Path2",22096.2050914704,844
"Cell1280","Cell1280","Batch1","Path2",21384.6734634693,967
"Cell1281","Cell1281","Batch1","Path3",22849.5078991049,980
"Cell1285","Cell1285","Batch1","Path1",22606.4341520327,550
"Cell1287","Cell1287","Batch1","Path2",20699.6849228097,727
"Cell1288","Cell1288","Batch1","Path3",21666.59809165,623
"Cell1289","Cell1289","Batch1","Path2",22116.5296326115,911
"Cell1290","Cell1290","Batch1","Path2",21777.8483631835,451
"Cell1291","Cell1291","Batch1","Path2",23642.3031367409,655
"Cell1292","Cell1292","Batch1","Path1",23113.316126494,422
"Cell1295","Cell1295","Batch1","Path2",23261.3529408735,530
"Cell1296","Cell1296","Batch1","Path2",23880.7302800935,572
"Cell1297","Cell1297","Batch1","Path3",22262.2946364103,445
"Cell1299","Cell1299","Batch1","Path2",22478.7547827728,999
"Cell1300","Cell1300","Batch1","Path1",21354.5091166258,537
"Cell1302","Cell1302","Batch1","Path2",20360.5652046153,506
"Cell1304","Cell1304","Batch1","Path3",23392.2004877979,612
"Cell1307","Cell1307","Batch1","Path3",22708.7025332637,597
"Cell1308","Cell1308","Batch1","Path3",21649.3616379932,495
"Cell1309","Cell1309","Batch1","Path3",23881.034649234,731
"Cell1310","Cell1310","Batch1","Path2",22655.1072668686,411
"Cell1311","Cell1311","Batch1","Path2",20198.5980881939,628
"Cell1312","Cell1312","Batch1","Path2",21781.7822432985,464
"Cell1313","Cell1313","Batch1","Path2",22466.6285395965,912
"Cell1315","Cell1315","Batch1","Path1",23302.5172928217,660
"Cell1317","Cell1317","Batch1","Path2",20720.9219753197,466
"Cell1318","Cell1318","Batch1","Path2",22631.3631659624,716
"Cell1321","Cell1321","Batch1","Path3",24255.5558972003,711
"Cell1322","Cell1322","Batch1","Path3",22215.9694887194,742
"Cell1324","Cell1324","Batch1","Path2",21011.4725523614,696
"Cell1325","Cell1325","Batch1","Path2",21774.6508718962,720
"Cell1326","Cell1326","Batch1","Path1",25308.8283816494,564
"Cell1329","Cell1329","Batch1","Path1",23992.6014303806,921
"Cell1331","Cell1331","Batch1","Path2",19610.2665853693,935
"Cell1333","Cell1333","Batch1","Path1",22782.971834363,769
"Cell1335","Cell1335","Batch1","Path2",21614.9942674385,679
"Cell1336","Cell1336","Batch1","Path1",22286.5240151607,891
"Cell1337","Cell1337","Batch1","Path2",21988.3443694539,975
"Cell1339","Cell1339","Batch1","Path3",22987.5271911268,458
"Cell1340","Cell1340","Batch1","Path1",23796.9406322838,668
"Cell1341","Cell1341","Batch1","Path2",20428.0697035999,407
"Cell1342","Cell1342","Batch1","Path2",20697.2297786563,423
"Cell1343","Cell1343","Batch1","Path3",20368.3116856814,799
"Cell1344","Cell1344","Batch1","Path3",21496.0470347635,861
"Cell1345","Cell1345","Batch1","Path1",22443.1150849606,985
"Cell1347","Cell1347","Batch1","Path2",20499.8543541651,613
"Cell1349","Cell1349","Batch1","Path3",21858.2811514698,640
"Cell1350","Cell1350","Batch1","Path3",21255.7342539574,847
"Cell1351","Cell1351","Batch1","Path2",22311.5325898493,500
"Cell1353","Cell1353","Batch1","Path3",21280.521741621,534
"Cell1356","Cell1356","Batch1","Path1",22074.4204088406,649
"Cell1357","Cell1357","Batch1","Path1",23961.9183422438,875
"Cell1358","Cell1358","Batch1","Path1",22029.6009727288,985
"Cell1359","Cell1359","Batch1","Path3",21509.9340018196,660
"Cell1360","Cell1360","Batch1","Path2",22644.064335124,883
"Cell1362","Cell1362","Batch1","Path3",22793.3317728253,656
"Cell1364","Cell1364","Batch1","Path3",21486.6016566464,524
"Cell1365","Cell1365","Batch1","Path1",21970.7367486584,704
"Cell1366","Cell1366","Batch1","Path2",22468.9536339482,453
"Cell1369","Cell1369","Batch1","Path1",21333.328404325,807
"Cell1370","Cell1370","Batch1","Path1",22272.9557695142,778
"Cell1373","Cell1373","Batch1","Path2",21376.4135298738,877
"Cell1374","Cell1374","Batch1","Path2",21831.2781565425,907
"Cell1379","Cell1379","Batch1","Path1",23854.3113510231,923
"Cell1382","Cell1382","Batch1","Path3",19948.1477436537,740
"Cell1386","Cell1386","Batch1","Path3",19263.1991673373,494
"Cell1392","Cell1392","Batch1","Path3",21255.3078576111,917
"Cell1399","Cell1399","Batch1","Path3",22239.4565896676,643
"Cell1400","Cell1400","Batch1","Path1",22071.3719655961,775
"Cell1401","Cell1401","Batch1","Path1",22219.4514168215,777
"Cell1402","Cell1402","Batch1","Path2",22259.6989589421,636
"Cell1404","Cell1404","Batch1","Path2",21960.6471348736,734
"Cell1405","Cell1405","Batch1","Path2",23645.9583779975,867
"Cell1406","Cell1406","Batch1","Path1",21947.628108584,657
"Cell1407","Cell1407","Batch1","Path2",22122.6463285644,420
"Cell1408","Cell1408","Batch1","Path1",21340.627438079,425
"Cell1410","Cell1410","Batch1","Path1",22921.8530882599,854
"Cell1414","Cell1414","Batch1","Path1",21528.7619928813,481
"Cell1415","Cell1415","Batch1","Path3",23203.3165703011,624
"Cell1416","Cell1416","Batch1","Path3",20166.941835368,699
"Cell1417","Cell1417","Batch1","Path3",22074.0788018557,421
"Cell1418","Cell1418","Batch1","Path2",22188.7261233476,720
"Cell1419","Cell1419","Batch1","Path1",23347.1294653408,493
"Cell1420","Cell1420","Batch1","Path2",22179.4847260986,740
"Cell1421","Cell1421","Batch1","Path3",22465.8581795048,718
"Cell1422","Cell1422","Batch1","Path2",24065.7999932458,475
"Cell1423","Cell1423","Batch1","Path3",20805.8184618689,425
"Cell1424","Cell1424","Batch1","Path3",20098.8217332122,799
"Cell1425","Cell1425","Batch1","Path2",22150.1078362737,914
"Cell1426","Cell1426","Batch1","Path3",21460.5202005005,609
"Cell1427","Cell1427","Batch1","Path2",23635.1491969495,803
"Cell1428","Cell1428","Batch1","Path3",20991.3805014967,459
"Cell1429","Cell1429","Batch1","Path3",20604.7266837998,799
"Cell1430","Cell1430","Batch1","Path3",21621.8611464772,409
"Cell1431","Cell1431","Batch1","Path1",22564.2953087111,924
"Cell1432","Cell1432","Batch1","Path3",23857.8767880432,705
"Cell1433","Cell1433","Batch1","Path1",21710.07922975,704
"Cell1434","Cell1434","Batch1","Path3",21912.0686125884,494
"Cell1436","Cell1436","Batch1","Path1",23234.5061983628,540
"Cell1437","Cell1437","Batch1","Path3",24915.4508670136,974
"Cell1438","Cell1438","Batch1","Path2",22879.1554977332,907
"Cell1439","Cell1439","Batch1","Path2",21700.4789014,576
"Cell1442","Cell1442","Batch1","Path1",22243.6139885668,978
"Cell1444","Cell1444","Batch1","Path1",23286.4456909112,737
"Cell1445","Cell1445","Batch1","Path1",21058.2728047264,843
"Cell1446","Cell1446","Batch1","Path3",22857.8871798521,716
"Cell1448","Cell1448","Batch1","Path3",22474.3389186671,572
"Cell1449","Cell1449","Batch1","Path1",24188.254235152,473
"Cell1450","Cell1450","Batch1","Path1",20845.2772044816,906
"Cell1451","Cell1451","Batch1","Path2",22179.4863311434,685
"Cell1453","Cell1453","Batch1","Path2",25088.7921542201,761
"Cell1456","Cell1456","Batch1","Path2",21830.7529648083,738
"Cell1457","Cell1457","Batch1","Path1",23951.4884255768,868
"Cell1458","Cell1458","Batch1","Path3",20824.0345492859,999
"Cell1461","Cell1461","Batch1","Path2",22047.0878852295,722
"Cell1462","Cell1462","Batch1","Path1",23370.4749275787,796
"Cell1464","Cell1464","Batch1","Path3",23141.2307986806,851
"Cell1465","Cell1465","Batch1","Path1",21611.3906479056,631
"Cell1468","Cell1468","Batch1","Path1",23086.3337527831,427
"Cell1471","Cell1471","Batch1","Path1",21026.4356579301,999
"Cell1472","Cell1472","Batch1","Path1",22642.4381361748,466
"Cell1475","Cell1475","Batch1","Path3",23359.3126752964,800
"Cell1479","Cell1479","Batch1","Path2",18973.6271451734,654
"Cell1480","Cell1480","Batch1","Path1",24219.4109475124,711
"Cell1481","Cell1481","Batch1","Path1",20766.2390018638,646
"Cell1482","Cell1482","Batch1","Path2",21525.5286089365,417
"Cell1485","Cell1485","Batch1","Path2",22730.6502844604,454
"Cell1487","Cell1487","Batch1","Path3",21644.4752256946,413
"Cell1488","Cell1488","Batch1","Path1",21701.0597274273,820
"Cell1490","Cell1490","Batch1","Path3",19637.7601073879,493
"Cell1491","Cell1491","Batch1","Path2",21018.4435938013,912
"Cell1495","Cell1495","Batch1","Path2",23206.1232776556,874
"Cell1496","Cell1496","Batch1","Path3",22432.9949550791,635
"Cell1497","Cell1497","Batch1","Path2",24216.6297632233,635
"Cell1498","Cell1498","Batch1","Path1",23071.8485479293,656
"Cell1499","Cell1499","Batch1","Path1",23567.1867705675,811
"Cell1500","Cell1500","Batch1","Path2",22314.7296217622,714
"Cell1501","Cell1501","Batch1","Path1",20015.7632112907,438
"Cell1503","Cell1503","Batch1","Path3",20804.9018644132,681
"Cell1505","Cell1505","Batch1","Path2",22635.8508666911,732
"Cell1507","Cell1507","Batch1","Path2",23352.1022277888,712
"Cell1509","Cell1509","Batch1","Path2",20088.2667315911,461
"Cell1510","Cell1510","Batch1","Path1",22349.5179348848,637
"Cell1512","Cell1512","Batch1","Path3",21079.6788737341,672
"Cell1513","Cell1513","Batch1","Path1",22517.7763868389,430
